tag3	tag1	script	region	lcid	source
lmn		Telu			cldr
lmo		Latn			cldr
	ln	Latn			cldr
	lo	Laoo			cldr
lol		Latn			cldr
loz		Latn			cldr
lrc		Arab			cldr
	lt	Latn			cldr
ltg		Latn			cldr
	lu	Latn			cldr
lua		Latn			cldr
lun		Latn			cldr
luo		Latn			cldr
lus		Beng			cldr
luy		Latn			cldr
luz		Arab			cldr
	lv	Latn			cldr
lwl		Thai			cldr
lzz		Latn			cldr
lzz		Geor			cldr
mad		Latn			cldr
maf		Latn			cldr
mag		Deva			cldr
mai		Deva			cldr
mak		Latn			cldr
man		Nkoo			cldr
man		Latn			cldr
mas		Latn			cldr
maz		Latn			cldr
mdf		Cyrl			cldr
mdh		Latn			cldr
mdr		Latn			cldr
mdt		Latn			cldr
men		Latn			cldr
mer		Latn			cldr
mfa		Arab			cldr
mfe		Latn			cldr
	mg	Latn			cldr
mgh		Latn			cldr
mgo		Latn			cldr
mgp		Deva			cldr
mgy		Latn			cldr
	mh	Latn			cldr
mhr		Cyrl			giellatekno
	mi	Latn			cldr
mic		Latn			cldr
min		Latn			cldr
	mk	Cyrl			cldr
	ml	Mlym			cldr
mls		Latn			cldr
	mn	Cyrl			cldr
mni		Beng			cldr
mns		Cyrl			cldr
mnw		Mymr			cldr
moe		Latn			cldr
moh		Latn			cldr
mos		Latn			cldr
	mr	Deva			cldr
mrd		Deva			cldr
mrj		Cyrl			cldr
mro		Latn			cldr
	ms	Latn			cldr
	ms	Arab			cldr
	mt	Latn			cldr
mtr		Deva			cldr
mua		Latn			cldr
mus		Latn			cldr
mvy		Arab			cldr
mwk		Latn			cldr
mwl		Latn			cldr
mwr		Deva			cldr
mwv		Latn			cldr
mxc		Latn			cldr
	my	Mymr			cldr
myv		Cyrl			cldr
myx		Latn			cldr
mzn		Arab			cldr
	na	Latn			cldr
nan		Hans			cldr
nap		Latn			cldr
naq		Latn			cldr
	nb	Latn			cldr
nch		Latn			cldr
	nd	Latn			cldr
ndc		Latn			cldr
nds		Latn			cldr
	ne	Deva			cldr
new		Deva			cldr
	ng	Latn			cldr
ngl		Latn			cldr
nhe		Latn			cldr
nhw		Latn			cldr
nia		Latn			cldr
nij		Latn			cldr
niu		Latn			cldr
njo		Latn			cldr
	nl	Latn			cldr
nmg		Latn			cldr
	nn	Latn			cldr
nnh		Latn			cldr
nod		Lana			cldr
noe		Deva			cldr
nog		Cyrl			cldr
non		Runr			giellatekno
nqo		Nkoo			cldr
	nr	Latn			cldr
nsk		Cans			cldr
nso		Latn			cldr
nus		Latn			cldr
	nv	Latn			cldr
nxq		Latn			cldr
	ny	Latn			cldr
nym		Latn			cldr
nyn		Latn			cldr
nyo		Latn			cldr
nzi		Latn			cldr
	oc	Latn			cldr
	oj	Latn			giellatekno
olo		Latn			giellatekno
	om	Latn			cldr
	or	Orya			cldr
	os	Cyrl			cldr
osa		Osge			cldr
	pa	Guru			cldr
	pa	Arab			cldr
pag		Latn			cldr
pam		Latn			cldr
pap		Latn			cldr
pau		Latn			cldr
pcd		Latn			cldr
pcm		Latn			cldr
pdc		Latn			cldr
pdt		Latn			cldr
pfl		Latn			cldr
pko		Latn			cldr
	pl	Latn			cldr
pms		Latn			cldr
pnt		Latn			cldr
pnt		Grek			cldr
pnt		Cyrl			cldr
pon		Latn			cldr
prd		Arab			cldr
	ps	Arab			cldr
	pt	Latn			cldr
puu		Latn			cldr
	qu	Latn			cldr
quc		Latn			cldr
qug		Latn			cldr
raj		Deva			cldr
rap		Latn			cldr
rar		Latn			cldr
rcf		Latn			cldr
rej		Latn			cldr
rgn		Latn			cldr
ria		Latn			cldr
rif		Tfng			cldr
rif		Latn			cldr
rjs		Deva			cldr
rkt		Beng			cldr
	rm	Latn			cldr
rmf		Latn			cldr
rmo		Latn			cldr
rmn		Latn			cldr
rmt		Arab			cldr
rmu		Latn			cldr
rmy		Latn			giellatekno
	rn	Latn			cldr
rng		Latn			cldr
	ro	Latn			cldr
rob		Latn			cldr
rof		Latn			cldr
rom		Latn			cldr
rtm		Latn			cldr
	ru	Cyrl			cldr
rue		Cyrl			cldr
rug		Latn			cldr
rup		Latn			cldr
	rw	Latn			cldr
rwk		Latn			cldr
ryu		Kana			cldr
sad		Latn			cldr
saf		Latn			cldr
sah		Cyrl			cldr
saq		Latn			cldr
sas		Latn			cldr
sat		Olck			cldr
saz		Saur			cldr
sbp		Latn			cldr
	sc	Latn			cldr
sck		Deva			cldr
scn		Latn			cldr
sco		Latn			cldr
scs		Latn			cldr
	sd	Deva			cldr
	sd	Arab			cldr
sdc		Latn			cldr
sdh		Arab			cldr
	se	Latn			cldr
see		Latn			cldr
sef		Latn			cldr
seh		Latn			cldr
sei		Latn			cldr
sel		Cyrl			giellatekno
ses		Latn			cldr
	sg	Latn			cldr
sgs		Latn			cldr
shi		Tfng			cldr
shi		Latn			cldr
shi		Arab			cldr
shn		Mymr			cldr
	si	Sinh			cldr
sid		Latn			cldr
sjd		Cyrl			giellatekno
sje		Latn			giellatekno
sjt		Cyrl			giellatekno
	sk	Latn			cldr
skr		Arab			cldr
	sl	Latn			cldr
sli		Latn			cldr
sly		Latn			cldr
	sm	Latn			cldr
sma		Latn			cldr
smj		Latn			cldr
smn		Latn			cldr
sms		Latn			cldr
	sn	Latn			cldr
snk		Latn			cldr
	so	Latn			cldr
sou		Thai			cldr
	sq	Latn			cldr
	sr	Latn			cldr
	sr	Cyrl			cldr
srb		Latn			cldr
srn		Latn			cldr
srr		Latn			cldr
srs		Latn			giellatekno
srx		Deva			cldr
	ss	Latn			cldr
ssy		Latn			cldr
	st	Latn			cldr
stq		Latn			cldr
	su	Latn			cldr
suk		Latn			cldr
sus		Latn			cldr
	sv	Latn			cldr
	sw	Latn			cldr
swb		Arab			cldr
swg		Latn			cldr
swv		Deva			cldr
sxn		Latn			cldr
syi		Latn			cldr
syl		Beng			cldr
szl		Latn			cldr
	ta	Taml			cldr
tab		Cyrl			cldr
taj		Deva			cldr
tbw		Latn			cldr
tcy		Knda			cldr
tdd		Tale			cldr
tdg		Deva			cldr
tdh		Deva			cldr
	te	Telu			cldr
tem		Latn			cldr
teo		Latn			cldr
ter		Latn			cldr
tet		Latn			cldr
	tg	Latn			cldr
	tg	Cyrl			cldr
	tg	Arab			cldr
tgl	tl	Latn			giellatekno
	th	Thai			cldr
thl		Deva			cldr
thq		Deva			cldr
thr		Deva			cldr
	ti	Ethi			cldr
tig		Ethi			cldr
tiv		Latn			cldr
	tk	Latn			cldr
	tk	Cyrl			cldr
	tk	Arab			cldr
tkl		Latn			cldr
tkr		Latn			cldr
tkr		Cyrl			cldr
tkt		Deva			cldr
tku		Latn			giellatekno
tli		Latn			cldr
tlh		Piqd			giellatekno
tly		Latn			cldr
tly		Cyrl			cldr
tly		Arab			cldr
tmh		Latn			cldr
	tn	Latn			cldr
	to	Latn			cldr
tog		Latn			cldr
tpi		Latn			cldr
	tr	Latn			cldr
tru		Latn			cldr
trv		Latn			cldr
trw		Arab			cldr
	ts	Latn			cldr
tsd		Grek			cldr
tsg		Latn			cldr
tsi		Latn			cldr
tsj		Tibt			cldr
	tt	Cyrl			cldr
ttj		Latn			cldr
tts		Thai			cldr
ttt		Latn			cldr
ttt		Cyrl			cldr
tum		Latn			cldr
tuv		Latn			giellatekno
tvl		Latn			cldr
twq		Latn			cldr
	ty	Latn			cldr
tyv		Cyrl			cldr
tzm		Tfng			cldr
tzm		Latn			cldr
ude		Cyrl			cldr
udm		Cyrl			cldr
	ug	Cyrl			cldr
	ug	Arab			cldr
	uk	Cyrl			cldr
uli		Latn			cldr
umb		Latn			cldr
unr		Deva			cldr
unr		Beng			cldr
